Date	shares_o
July 17, 2009	431.81M
Sept. 30, 2009	433.00M
Oct. 19, 2009	432.98M
Dec. 31, 2009	444.00M
Jan. 22, 2010	444.55M
March 31, 2010	446.00M
April 16, 2010	445.67M
June 30, 2010	448.00M
July 15, 2010	447.82M
Sept. 30, 2010	449.00M
Oct. 14, 2010	448.84M
Dec. 31, 2010	451.00M
Jan. 19, 2011	451.00M
March 31, 2011	452.00M
April 19, 2011	452.04M
June 30, 2011	454.00M
July 15, 2011	453.94M
Sept. 30, 2011	455.00M
Oct. 14, 2011	454.75M
Dec. 31, 2011	455.00M
Jan. 19, 2012	455.07M
March 31, 2012	450.00M
April 2, 2012	450.50M
April 13, 2012	450.53M
June 30, 2012	452.00M
July 13, 2012	452.07M
Sept. 30, 2012	453.00M
Oct. 12, 2012	452.96M
Dec. 31, 2012	454.00M
Jan. 18, 2013	454.55M
March 31, 2013	455.00M
April 12, 2013	455.24M
June 30, 2013	457.00M
July 12, 2013	456.88M
Sept. 30, 2013	458.00M
Oct. 11, 2013	457.73M
Dec. 31, 2013	459.00M
Jan. 17, 2014	459.26M
March 31, 2014	460.00M
April 16, 2014	460.17M
June 30, 2014	462.00M
July 16, 2014	462.04M
Sept. 30, 2014	463.00M
Oct. 15, 2014	463.01M
Dec. 31, 2014	465.00M
Jan. 16, 2015	464.38M
March 31, 2015	466.00M
April 15, 2015	465.68M
June 30, 2015	468.00M
July 15, 2015	467.71M
